group,variable,value
501,519.091,1.836
501,519.636,4.258
501,520.182,5.703
501,520.727,2.187
501,521.273,-1.524
501,521.818,2.734
501,522.364,3.906
501,522.909,3.75
501,523.455,2.93
501,524,2.187
501,524.545,2.07
501,525.091,1.797
501,525.636,1.641
501,526.182,1.601
501,526.727,1.797
501,527.273,1.797
501,527.818,1.68
501,528.364,1.875
501,528.909,2.148
501,529.455,2.656
501,530,3.008
501,500,4.18
501,500.375,4.023
501,500.75,4.766
501,501.125,4.18
501,501.5,3.984
501,501.875,3.516
501,502.25,2.969
501,502.625,2.226
501,503,2.266
501,503.375,1.875
501,503.75,1.484
501,504.125,1.484
501,504.5,1.68
501,504.875,2.226
501,505.25,2.734
501,505.625,2.539
501,506,2.539
501,506.375,2.812
501,506.75,1.719
501,507.125,4.141
501,507.5,-5.313
501,507.875,-2.422
501,508.25,1.094
501,508.625,1.797
501,509,2.422
501,509.375,2.109
501,509.75,2.891
501,510.125,1.68
501,510.5,1.562
501,510.875,1.836
501,511.25,2.344
501,511.625,2.383
501,512,2.422
501,512.375,2.422
501,512.75,2.617
501,513.125,1.641
501,513.5,4.101
501,513.875,3.594
501,514.25,-0.391
501,514.625,1.601
501,515,3.75
501,515.375,3.984
501,515.75,3.633
501,516.125,3.086
501,516.5,3.047
501,516.875,3.242
501,517.25,-0.156
501,517.625,-4.961
501,518,0.391
501,518.375,2.031
501,518.75,2.695
501,519.125,2.461
501,519.5,2.773
501,519.875,3.32
501,520.25,4.062
501,520.625,2.031
501,521,3.047
501,521.375,3.594
501,521.75,3.516
501,522.125,3.906
501,522.5,2.148
501,522.875,3.008
501,523.25,3.476
501,523.625,3.711
501,524,3.32
501,524.375,3.125
501,524.75,1.68
501,525.125,2.5
501,525.5,2.656
501,525.875,2.969
501,526.25,2.812
501,526.625,2.344
501,527,2.07
501,527.375,1.719
501,527.75,1.992
501,528.125,2.422
501,528.5,2.5
501,528.875,2.266
501,529.25,2.5
501,529.625,3.164
501,530,4.023
501.5,530,3.437
501.5,529.63,3.32
501.5,529.259,2.031
501.5,528.889,-3.086
501.5,528.519,-3.789
501.5,528.148,0.195
501.5,527.778,0.703
501.5,527.407,-0.508
501.5,527.037,0.078
501.5,526.667,1.328
501.5,526.296,2.383
501.5,525.926,2.187
501.5,525.556,1.914
501.5,525.185,2.851
501.5,524.815,1.445
501.5,524.444,2.305
501.5,524.074,3.555
501.5,523.704,3.476
501.5,523.333,3.164
501.5,522.963,2.851
501.5,522.593,3.711
501.5,522.222,1.953
501.5,521.852,-1.25
501.5,521.481,2.109
501.5,521.111,3.672
501.5,520.741,4.062
501.5,520.37,5.078
501.5,520,4.492
501.5,519.63,4.414
501.5,519.259,3.594
501.5,518.889,3.32
501.5,518.519,2.383
501.5,518.148,2.812
501.5,517.778,0.234
501.5,517.407,1.172
501.5,517.037,2.187
501.5,516.667,2.187
501.5,516.296,2.383
501.5,515.926,2.617
501.5,515.556,2.617
501.5,515.185,2.695
501.5,514.815,2.851
501.5,514.444,3.984
501.5,514.074,-12.93
501.5,513.704,-39.727
501.5,513.333,-14.922
501.5,512.963,-3.984
501.5,512.593,0.781
501.5,512.222,1.68
501.5,511.852,2.148
501.5,511.481,3.281
501.5,511.111,2.5
501.5,510.741,1.055
501.5,510.37,1.953
501.5,510,2.305
501.5,509.63,2.383
501.5,509.259,2.891
501.5,508.889,1.601
501.5,508.519,2.109
501.5,508.148,2.461
501.5,507.778,2.891
501.5,507.407,2.812
501.5,507.037,1.523
501.5,506.667,-3.438
501.5,506.296,1.601
501.5,505.926,2.266
501.5,505.556,2.148
501.5,505.185,2.187
501.5,504.815,2.109
501.5,504.444,2.109
501.5,504.074,1.758
501.5,503.704,1.992
501.5,503.333,2.031
501.5,502.963,2.07
501.5,502.593,1.797
501.5,502.222,1.601
501.5,501.852,1.758
501.5,501.481,1.953
501.5,501.111,2.344
501.5,500.741,2.617
501.5,500.37,2.891
501.5,500,2.773
502,500,3.164
502,500.37,3.359
502,500.741,3.125
502,501.111,2.812
502,501.481,2.148
502,501.852,-1.641
502,502.222,1.719
502,502.593,2.07
502,502.963,1.562
502,503.333,1.406
502,503.704,1.719
502,504.074,1.641
502,504.444,1.445
502,504.815,1.836
502,505.185,1.914
502,505.556,1.328
502,505.926,1.406
502,506.296,1.719
502,506.667,3.594
502,507.037,-3.633
502,507.407,-0.781
502,507.778,3.086
502,508.148,2.5
502,508.519,2.461
502,508.889,2.344
502,509.259,2.109
502,509.63,2.148
502,510,2.5
502,510.37,2.344
502,510.741,2.5
502,511.111,2.695
502,511.481,2.422
502,511.852,2.266
502,512.222,2.539
502,512.593,3.359
502,512.963,0.781
502,513.333,2.773
502,513.704,3.008
502,514.074,1.797
502,514.444,2.773
502,514.815,2.851
502,515.185,2.812
502,515.556,2.226
502,515.926,0.508
502,516.296,0.703
502,516.667,1.601
502,517.037,1.992
502,517.407,2.344
502,517.778,2.5
502,518.148,3.594
502,518.519,2.383
502,518.889,2.812
502,519.259,3.203
502,519.63,2.617
502,520,2.578
502,520.37,3.242
502,520.741,3.75
502,521.111,3.867
502,521.481,3.75
502,521.852,5.117
502,522.222,12.383
502,522.593,8.555
502,522.963,6.914
502,523.333,-14.922
502,523.704,-31.406
502,524.074,-13.438
502,524.444,-8.477
502,524.815,-2.227
502,525.185,-0.234
502,525.556,1.484
502,525.926,2.031
502,526.296,3.008
502,526.667,2.695
502,527.037,1.523
502,527.407,2.891
502,527.778,3.359
502,528.148,3.398
502,528.519,3.047
502,528.889,2.891
502,529.259,3.086
502,529.63,3.476
502,530,-0.508
502.5,530,2.461
502.5,529.643,3.203
502.5,529.286,3.437
502.5,528.929,3.75
502.5,528.571,4.141
502.5,528.214,3.711
502.5,527.857,3.594
502.5,527.5,3.32
502.5,527.143,3.242
502.5,526.786,3.75
502.5,526.429,3.281
502.5,526.071,3.555
502.5,525.714,3.047
502.5,525.357,3.086
502.5,525,2.969
502.5,524.643,2.5
502.5,524.286,2.031
502.5,523.929,2.148
502.5,523.571,3.242
502.5,523.214,3.555
502.5,522.857,5.273
502.5,522.5,8.516
502.5,522.143,9.57
502.5,521.786,8.281
502.5,521.429,6.562
502.5,521.071,5.781
502.5,520.714,4.726
502.5,520.357,3.867
502.5,520,3.125
502.5,519.643,3.711
502.5,519.286,2.695
502.5,518.929,3.164
502.5,518.571,0.742
502.5,518.214,2.539
502.5,517.857,2.812
502.5,517.5,2.812
502.5,517.143,2.148
502.5,516.786,2.226
502.5,516.429,2.305
502.5,516.071,2.031
502.5,515.714,2.734
502.5,515.357,2.539
502.5,515,2.5
502.5,514.643,2.383
502.5,514.286,2.07
502.5,513.929,2.148
502.5,513.571,3.086
502.5,513.214,2.461
502.5,512.857,2.578
502.5,512.5,2.891
502.5,512.143,3.203
502.5,511.786,3.203
502.5,511.429,2.851
502.5,511.071,3.086
502.5,510.714,2.93
502.5,510.357,2.773
502.5,510,2.461
502.5,509.643,2.031
502.5,509.286,2.07
502.5,508.929,2.187
502.5,508.571,2.422
502.5,508.214,2.148
502.5,507.857,1.055
502.5,507.5,2.617
502.5,507.143,-3.047
502.5,506.786,0.586
502.5,506.429,1.601
502.5,506.071,2.344
502.5,505.714,2.891
502.5,505.357,3.008
502.5,505,2.187
502.5,504.643,1.992
502.5,504.286,1.562
502.5,503.929,1.758
502.5,503.571,2.109
502.5,503.214,1.719
502.5,502.857,2.031
502.5,502.5,2.422
502.5,502.143,2.617
502.5,501.786,2.461
502.5,501.429,2.148
502.5,501.071,2.266
502.5,500.714,2.461
502.5,500.357,2.734
502.5,500,3.633
503,500,9.805
503,500.37,20
503,500.741,16.562
503,501.111,9.336
503,501.481,5.43
503,501.852,3.047
503,502.222,2.422
503,502.593,2.07
503,502.963,1.875
503,503.333,1.601
503,503.704,1.68
503,504.074,1.641
503,504.444,1.562
503,504.815,1.484
503,505.185,1.328
503,505.556,1.328
503,505.926,1.953
503,506.296,2.266
503,506.667,2.539
503,507.037,0.039
503,507.407,-3.477
503,507.778,0.312
503,508.148,1.758
503,508.519,1.875
503,508.889,1.836
503,509.259,1.914
503,509.63,2.187
503,510,1.836
503,510.37,1.68
503,510.741,1.484
503,511.111,1.992
503,511.481,1.797
503,511.852,1.953
503,512.222,1.836
503,512.593,2.226
503,512.963,2.187
503,513.333,2.148
503,513.704,2.656
503,514.074,-1.133
503,514.444,-5.547
503,514.815,-2.5
503,515.185,0.742
503,515.556,1.406
503,515.926,1.992
503,516.296,1.992
503,516.667,2.148
503,517.037,2.148
503,517.407,2.226
503,517.778,2.07
503,518.148,2.383
503,518.519,2.305
503,518.889,2.148
503,519.259,2.461
503,519.63,2.617
503,520,3.203
503,520.37,2.539
503,520.741,3.164
503,521.111,3.203
503,521.481,3.437
503,521.852,4.336
503,522.222,4.961
503,522.593,6.133
503,522.963,4.297
503,523.333,4.219
503,523.704,3.75
503,524.074,2.617
503,524.444,2.031
503,524.815,2.812
503,525.185,2.656
503,525.556,2.891
503,525.926,2.734
503,526.296,2.422
503,526.667,3.203
503,527.037,3.164
503,527.407,3.125
503,527.778,3.672
503,528.148,2.266
503,528.519,2.383
503,528.889,3.203
503,529.259,2.891
503,529.63,2.617
503,530,2.422
503.5,530,3.594
503.5,529.634,3.476
503.5,529.268,4.492
503.5,528.902,5.976
503.5,528.537,5.703
503.5,528.171,3.32
503.5,527.805,3.32
503.5,527.439,1.836
503.5,527.073,2.812
503.5,526.707,2.461
503.5,526.341,1.953
503.5,525.976,2.344
503.5,525.61,2.93
503.5,525.244,2.891
503.5,524.878,2.969
503.5,524.512,3.125
503.5,524.146,2.891
503.5,523.78,2.93
503.5,523.415,2.93
503.5,523.049,2.93
503.5,522.683,3.476
503.5,522.317,4.844
503.5,521.951,9.219
503.5,521.585,11.797
503.5,521.22,8.75
503.5,520.854,5.937
503.5,520.488,4.453
503.5,520.122,3.711
503.5,519.756,3.281
503.5,519.39,3.828
503.5,519.024,1.797
503.5,518.659,2.031
503.5,518.293,-0.664
503.5,517.927,1.328
503.5,517.561,2.344
503.5,517.195,2.461
503.5,516.829,2.109
503.5,516.463,2.187
503.5,516.098,2.109
503.5,515.732,2.148
503.5,515.366,2.266
503.5,515,2.148
503.5,514.634,2.539
503.5,514.268,2.617
503.5,513.902,2.187
503.5,513.537,2.266
503.5,513.171,2.5
503.5,512.805,2.539
503.5,512.439,2.734
503.5,512.073,2.422
503.5,511.707,2.148
503.5,511.341,1.992
503.5,510.976,1.953
503.5,510.61,2.109
503.5,510.244,2.07
503.5,509.878,1.992
503.5,509.512,1.68
503.5,509.146,2.148
503.5,508.78,2.422
503.5,508.415,2.617
503.5,508.049,2.617
503.5,507.683,2.383
503.5,507.317,3.203
503.5,506.951,2.226
503.5,506.585,2.812
503.5,506.22,2.422
503.5,505.854,2.305
503.5,505.488,2.187
503.5,505.122,1.992
503.5,504.756,1.797
503.5,504.39,1.875
503.5,504.024,1.992
503.5,503.659,2.148
503.5,503.293,2.148
503.5,502.927,1.992
503.5,502.561,1.992
503.5,502.195,2.187
503.5,501.829,1.875
503.5,501.463,1.523
503.5,501.098,1.758
503.5,500.732,2.031
503.5,500.366,2.344
503.5,500,2.578
504,500,2.93
504,500.375,2.851
504,500.75,2.539
504,501.125,2.422
504,501.5,2.07
504,501.875,1.133
504,502.25,1.641
504,502.625,1.094
504,503,1.445
504,503.375,0.898
504,503.75,1.055
504,504.125,1.055
504,504.5,1.484
504,504.875,1.641
504,505.25,1.562
504,505.625,1.641
504,506,1.25
504,506.375,1.523
504,506.75,1.953
504,507.125,1.758
504,507.5,1.484
504,507.875,2.031
504,508.25,3.203
504,508.625,1.992
504,509,2.148
504,509.375,2.422
504,509.75,1.523
504,510.125,2.187
504,510.5,2.187
504,510.875,1.758
504,511.25,1.992
504,511.625,2.266
504,512,2.187
504,512.375,2.266
504,512.75,2.031
504,513.125,2.461
504,513.5,2.578
504,513.875,2.422
504,514.25,2.344
504,514.625,2.617
504,515,2.344
504,515.375,2.422
504,515.75,2.07
504,516.125,2.187
504,516.5,2.422
504,516.875,2.461
504,517.25,2.5
504,517.625,1.758
504,518,1.172
504,518.375,1.914
504,518.75,2.187
504,519.125,2.148
504,519.5,1.68
504,519.875,2.344
504,520.25,2.226
504,520.625,2.305
504,521,2.93
504,521.375,4.336
504,521.75,6.758
504,522.125,10.43
504,522.5,-9.102
504,522.875,0.82
504,523.25,2.734
504,523.625,2.891
504,524,2.617
504,524.375,2.695
504,524.75,2.539
504,525.125,2.461
504,525.5,2.5
504,525.875,2.773
504,526.25,2.891
504,526.625,2.93
504,527,2.656
504,527.375,3.086
504,527.75,2.617
504,528.125,3.437
504,528.5,4.336
504,528.875,3.476
504,529.25,4.414
504,529.625,1.601
504,530,2.734
504.5,530,2.773
504.5,529.643,2.812
504.5,529.286,2.969
504.5,528.929,3.32
504.5,528.571,5.586
504.5,528.214,7.109
504.5,527.857,5.039
504.5,527.5,1.641
504.5,527.143,2.109
504.5,526.786,2.734
504.5,526.429,2.031
504.5,526.071,1.172
504.5,525.714,2.617
504.5,525.357,3.437
504.5,525,3.516
504.5,524.643,2.891
504.5,524.286,2.891
504.5,523.929,2.578
504.5,523.571,2.812
504.5,523.214,2.266
504.5,522.857,1.68
504.5,522.5,2.422
504.5,522.143,2.891
504.5,521.786,2.891
504.5,521.429,3.359
504.5,521.071,2.773
504.5,520.714,3.516
504.5,520.357,3.789
504.5,520,3.203
504.5,519.643,2.422
504.5,519.286,2.266
504.5,518.929,2.422
504.5,518.571,2.031
504.5,518.214,2.539
504.5,517.857,0.703
504.5,517.5,0.703
504.5,517.143,0.43
504.5,516.786,1.875
504.5,516.429,1.367
504.5,516.071,1.484
504.5,515.714,1.914
504.5,515.357,2.617
504.5,515,2.656
504.5,514.643,2.344
504.5,514.286,1.875
504.5,513.929,1.953
504.5,513.571,1.758
504.5,513.214,2.148
504.5,512.857,1.094
504.5,512.5,0.742
504.5,512.143,1.953
504.5,511.786,2.266
504.5,511.429,2.148
504.5,511.071,2.109
504.5,510.714,2.148
504.5,510.357,0.586
504.5,510,-0.117
504.5,509.643,-2.266
504.5,509.286,-8.086
504.5,508.929,-4.336
504.5,508.571,-0.43
504.5,508.214,0.742
504.5,507.857,1.758
504.5,507.5,1.641
504.5,507.143,1.758
504.5,506.786,1.914
504.5,506.429,2.5
504.5,506.071,2.031
504.5,505.714,1.836
504.5,505.357,1.836
504.5,505,1.641
504.5,504.643,1.562
504.5,504.286,2.148
504.5,503.929,2.266
504.5,503.571,2.07
504.5,503.214,1.836
504.5,502.857,1.758
504.5,502.5,-0.547
504.5,502.143,1.016
504.5,501.786,1.719
504.5,501.429,1.836
504.5,501.071,2.422
504.5,500.714,1.797
504.5,500.357,0.391
504.5,500,1.758
505,500,2.031
505,500.375,2.07
505,500.75,2.109
505,501.125,2.109
505,501.5,1.875
505,501.875,1.914
505,502.25,1.992
505,502.625,2.07
505,503,2.187
505,503.375,2.07
505,503.75,2.266
505,504.125,1.641
505,504.5,-2.07
505,504.875,1.016
505,505.25,1.641
505,505.625,1.523
505,506,1.172
505,506.375,1.992
505,506.75,1.484
505,507.125,0.664
505,507.5,2.031
505,507.875,2.383
505,508.25,2.305
505,508.625,0.273
505,509,1.601
505,509.375,4.375
505,509.75,0.195
505,510.125,1.992
505,510.5,2.539
505,510.875,2.187
505,511.25,2.266
505,511.625,2.383
505,512,2.344
505,512.375,2.07
505,512.75,2.383
505,513.125,2.383
505,513.5,2.187
505,513.875,2.031
505,514.25,2.07
505,514.625,2.344
505,515,2.187
505,515.375,2.383
505,515.75,2.461
505,516.125,2.734
505,516.5,2.578
505,516.875,2.148
505,517.25,2.695
505,517.625,2.851
505,518,2.226
505,518.375,1.641
505,518.75,0.586
505,519.125,1.211
505,519.5,1.289
505,519.875,1.601
505,520.25,1.914
505,520.625,1.68
505,521,2.031
505,521.375,2.617
505,521.75,2.539
505,522.125,2.344
505,522.5,2.031
505,522.875,2.383
505,523.25,1.523
505,523.625,1.289
505,524,1.992
505,524.375,1.914
505,524.75,2.031
505,525.125,-0.781
505,525.5,-0.938
505,525.875,0.976
505,526.25,1.484
505,526.625,0.82
505,527,-0.703
505,527.375,0
505,527.75,1.25
505,528.125,3.867
505,528.5,-1.68
505,528.875,-2.93
505,529.25,0.508
505,529.625,1.758
505,530,2.148
505.5,530,1.992
505.5,529.63,2.187
505.5,529.259,1.953
505.5,528.889,1.836
505.5,528.519,2.148
505.5,528.148,1.094
505.5,527.778,-1.172
505.5,527.407,1.719
505.5,527.037,2.305
505.5,526.667,0.156
505.5,526.296,-5.938
505.5,525.926,-3.477
505.5,525.556,-0.742
505.5,525.185,1.484
505.5,524.815,2.578
505.5,524.444,3.086
505.5,524.074,2.539
505.5,523.704,2.422
505.5,523.333,-2.539
505.5,522.963,-4.727
505.5,522.593,-0.156
505.5,522.222,1.367
505.5,521.852,1.797
505.5,521.481,0.937
505.5,521.111,-0.977
505.5,520.741,1.68
505.5,520.37,0.586
505.5,520,0.781
505.5,519.63,-2.656
505.5,519.259,-1.289
505.5,518.889,0.43
505.5,518.519,0.976
505.5,518.148,1.328
505.5,517.778,1.25
505.5,517.407,2.266
505.5,517.037,2.422
505.5,516.667,2.383
505.5,516.296,3.476
505.5,515.926,2.851
505.5,515.556,2.383
505.5,515.185,1.836
505.5,514.815,1.992
505.5,514.444,1.68
505.5,514.074,0.937
505.5,513.704,1.484
505.5,513.333,2.07
505.5,512.963,1.992
505.5,512.593,1.992
505.5,512.222,2.109
505.5,511.852,2.109
505.5,511.481,2.031
505.5,511.111,1.953
505.5,510.741,2.031
505.5,510.37,2.031
505.5,510,2.031
505.5,509.63,3.047
505.5,509.259,4.258
505.5,508.889,4.062
505.5,508.519,2.812
505.5,508.148,2.891
505.5,507.778,1.562
505.5,507.407,3.203
505.5,507.037,2.656
505.5,506.667,0.781
505.5,506.296,-1.524
505.5,505.926,1.016
505.5,505.556,1.797
505.5,505.185,2.031
505.5,504.815,1.836
505.5,504.444,2.109
505.5,504.074,2.851
505.5,503.704,2.109
505.5,503.333,0.976
505.5,502.963,1.445
505.5,502.593,1.797
505.5,502.222,1.758
505.5,501.852,1.836
505.5,501.481,1.992
505.5,501.111,1.875
505.5,500.741,2.461
505.5,500.37,2.5
505.5,500,2.422
506,500,2.5
506,500.37,2.226
506,500.741,1.875
506,501.111,1.758
506,501.481,1.797
506,501.852,1.445
506,502.222,1.367
506,502.593,1.562
506,502.963,1.523
506,503.333,1.641
506,503.704,1.914
506,504.074,1.875
506,504.444,2.031
506,504.815,2.07
506,505.185,2.148
506,505.556,2.187
506,505.926,-1.172
506,506.296,-0.313
506,506.667,1.328
506,507.037,2.187
506,507.407,1.367
506,507.778,1.328
506,508.148,1.758
506,508.519,2.031
506,508.889,1.758
506,509.259,2.695
506,509.63,2.695
506,510,2.656
506,510.37,2.344
506,510.741,2.07
506,511.111,1.953
506,511.481,1.875
506,511.852,1.68
506,512.222,1.719
506,512.593,1.68
506,512.963,2.109
506,513.333,2.187
506,513.704,2.422
506,514.074,2.187
506,514.444,2.344
506,514.815,2.344
506,515.185,2.266
506,515.556,1.992
506,515.926,2.422
506,516.296,1.055
506,516.667,-0.625
506,517.037,1.094
506,517.407,1.719
506,517.778,-0.508
506,518.148,0.469
506,518.519,1.016
506,518.889,0.976
506,519.259,-0.234
506,519.63,0.703
506,520,1.094
506,520.37,1.758
506,520.741,1.914
506,521.111,2.148
506,521.481,2.539
506,521.852,0.625
506,522.222,0.976
506,522.593,1.445
506,522.963,1.172
506,523.333,2.383
506,523.704,-1.445
506,524.074,-0.781
506,524.444,2.383
506,524.815,1.523
506,525.185,1.758
506,525.556,2.344
506,525.926,2.773
506,526.296,2.891
506,526.667,2.383
506,527.037,2.148
506,527.407,2.461
506,527.778,1.797
506,528.148,1.406
506,528.519,1.055
506,528.889,-0.82
506,529.259,0.469
506,529.63,1.484
506,530,1.758
506.5,530,1.992
506.5,529.634,1.992
506.5,529.268,1.641
506.5,528.902,1.758
506.5,528.537,1.367
506.5,528.171,1.68
506.5,527.805,2.266
506.5,527.439,2.891
506.5,527.073,2.969
506.5,526.707,2.344
506.5,526.341,1.445
506.5,525.976,2.461
506.5,525.61,-0.078
506.5,525.244,-1.953
506.5,524.878,1.367
506.5,524.512,1.914
506.5,524.146,1.328
506.5,523.78,-0.547
506.5,523.415,1.484
506.5,523.049,1.133
506.5,522.683,1.406
506.5,522.317,1.523
506.5,521.951,1.328
506.5,521.585,2.187
506.5,521.22,-0.391
506.5,520.854,2.109
506.5,520.488,2.773
506.5,520.122,1.797
506.5,519.756,0.508
506.5,519.39,1.328
506.5,519.024,0.625
506.5,518.659,0
506.5,518.293,1.133
506.5,517.927,1.758
506.5,517.561,2.07
506.5,517.195,2.422
506.5,516.829,1.992
506.5,516.463,2.383
506.5,516.098,1.445
506.5,515.732,-2.813
506.5,515.366,-0.391
506.5,515,0.859
506.5,514.634,1.68
506.5,514.268,1.836
506.5,513.902,2.07
506.5,513.537,2.031
506.5,513.171,2.226
506.5,512.805,1.875
506.5,512.439,2.148
506.5,512.073,2.226
506.5,511.707,2.148
506.5,511.341,2.187
506.5,510.976,1.484
506.5,510.61,0.937
506.5,510.244,2.148
506.5,509.878,1.406
506.5,509.512,2.305
506.5,509.146,1.094
506.5,508.78,-2.109
506.5,508.415,2.344
506.5,508.049,2.031
506.5,507.683,1.797
506.5,507.317,1.562
506.5,506.951,1.836
506.5,506.585,2.031
506.5,506.22,2.031
506.5,505.854,2.344
506.5,505.488,2.07
506.5,505.122,1.523
506.5,504.756,2.226
506.5,504.39,1.875
506.5,504.024,2.422
506.5,503.659,1.836
506.5,503.293,-2.149
506.5,502.927,0.703
506.5,502.561,1.641
506.5,502.195,1.914
506.5,501.829,1.836
506.5,501.463,1.797
506.5,501.098,1.797
506.5,500.732,1.68
506.5,500.366,1.641
506.5,500,1.953
507,500,2.226
507,500.366,2.226
507,500.732,2.07
507,501.098,1.719
507,501.463,1.328
507,501.829,1.367
507,502.195,1.523
507,502.561,1.758
507,502.927,1.523
507,503.293,1.992
507,503.659,2.187
507,504.024,1.992
507,504.39,2.266
507,504.756,2.07
507,505.122,1.875
507,505.488,2.031
507,505.854,1.992
507,506.22,2.148
507,506.585,2.07
507,506.951,1.875
507,507.317,1.953
507,507.683,1.758
507,508.049,1.601
507,508.415,1.328
507,508.78,1.328
507,509.146,1.68
507,509.512,1.484
507,509.878,-2.227
507,510.244,-19.649
507,510.61,-14.805
507,510.976,-5.781
507,511.341,-1.055
507,511.707,0.195
507,512.073,0.976
507,512.439,2.109
507,512.805,2.344
507,513.171,2.266
507,513.537,2.461
507,513.902,2.812
507,514.268,2.539
507,514.634,2.344
507,515,2.695
507,515.366,2.461
507,515.732,2.383
507,516.098,2.109
507,516.463,0.547
507,516.829,1.484
507,517.195,1.328
507,517.561,1.523
507,517.927,1.719
507,518.293,2.383
507,518.659,2.578
507,519.024,2.187
507,519.39,2.539
507,519.756,2.031
507,520.122,2.226
507,520.488,1.211
507,520.854,2.031
507,521.22,2.266
507,521.585,1.055
507,521.951,0.117
507,522.317,2.187
507,522.683,0.351
507,523.049,1.68
507,523.415,2.07
507,523.78,2.031
507,524.146,1.328
507,524.512,-1.797
507,524.878,0.273
507,525.244,-2.774
507,525.61,0.391
507,525.976,1.094
507,526.341,2.344
507,526.707,2.109
507,527.073,2.422
507,527.439,1.484
507,527.805,0.859
507,528.171,1.562
507,528.537,0.976
507,528.902,1.953
